ts,tsm_name,node_id,top_disp,bottom_disp,top_vel,bottom_vel,na_status
2017-12-16 17:00:00,agbta,6,50.000000000000036,,92.831541218638,,1.0
2017-12-16 17:30:00,agbta,6,56.71641791044784,,97.02602230483272,,1.0
2017-12-16 18:00:00,agbta,6,57.352941176470594,,90.49586776859503,,1.0
2017-12-16 18:30:00,agbta,6,59.42028985507256,,86.29441624365484,,1.0
2018-01-14 12:00:00,agbta,2,,18.89250814332249,,18.358831710709318,1.0
2018-01-14 12:00:00,agbta,3,71.95767195767196,4.4117647058823515,59.55056179775281,8.962264150943396,1.0
2018-01-14 14:00:00,agbta,2,,18.91025641025642,,93.90243902439023,1.0
2018-01-14 13:00:00,agbta,2,,18.831168831168842,,30.206677265500797,1.0
2018-01-14 13:00:00,agbta,3,70.83333333333333,2.2058823529411757,33.71356147021547,22.55639097744361,1.0
2018-01-14 11:00:00,agbta,2,,15.82491582491583,,12.299741602067185,1.0
2018-01-14 11:00:00,agbta,3,95.07042253521129,5.185185185185177,94.04761904761905,5.523590333716915,1.0
2018-01-14 19:30:00,agbta,2,,17.374517374517374,,14.07269338303821,1.0
2018-01-14 19:30:00,agbta,3,73.94136807817591,1.7621145374449383,88.44036697247707,0.4149377593360996,1.0
2018-01-14 19:00:00,agbta,2,,18.23899371069183,,16.702819956616054,1.0
2018-01-14 19:00:00,agbta,3,71.23287671232876,1.923076923076928,76.89393939393938,0.7389162561576355,1.0
2018-01-14 20:30:00,agbta,2,,15.719063545150505,,8.928571428571427,1.0
2018-01-14 20:30:00,agbta,3,76.36887608069165,1.5094339622641548,99.42112879884226,1.3024602026049203,1.0
2018-01-14 20:00:00,agbta,2,,16.666666666666675,,11.370716510903428,1.0
2018-01-14 20:00:00,agbta,3,75.76687116564418,2.0242914979757103,97.6470588235294,0.8605851979345956,1.0
2018-01-14 23:00:00,agbta,3,91.26637554585155,0.23923444976076408,76.69225401256105,0.6978367062107467,1.0
2018-01-15 00:30:00,agbta,3,98.8118811881188,1.6032064128256518,68.56725146198829,2.4122807017543857,1.0
2018-01-15 02:00:00,agbta,2,,7.090643274853798,,1.0116492949110976,1.0
2018-01-15 02:00:00,agbta,3,98.0461811722913,2.8985507246376794,79.98111425873465,6.79886685552408,1.0
2018-01-15 01:00:00,agbta,2,,7.753796962430057,,0.14076576576576577,1.0
2018-01-15 01:00:00,agbta,3,98.66156787762908,2.325581395348836,69.87281399046105,3.97456279809221,1.0
2018-01-15 03:00:00,agbta,2,,6.948228882833789,,2.9454545454545453,1.0
2018-01-15 03:00:00,agbta,3,97.17607973421927,4.615384615384617,96.28378378378379,13.684210526315788,1.0
2018-01-15 04:30:00,agbta,2,,7.3738680465718,,9.703504043126685,1.0
2018-01-15 04:30:00,agbta,3,92.42424242424242,6.885245901639346,66.03174603174602,32.6923076923077,1.0
2018-01-15 06:00:00,agbta,2,,8.009708737864079,,21.47147147147147,1.0
2018-01-15 05:00:00,agbta,2,,7.7713551701991,,15.077755240027043,1.0
2018-01-15 05:00:00,agbta,3,90.96296296296296,7.65472312703583,55.0321199143469,42.996108949416346,1.0
2018-01-15 10:00:00,agbta,2,,8.041014570966002,,2.414486921529175,1.0
2018-01-15 10:00:00,agbta,3,91.66666666666666,7.323232323232322,11.450381679389313,5.801526717557252,1.0
2018-01-15 11:30:00,agbta,2,,8.004326663061116,,16.12903225806452,1.0
2018-01-15 11:30:00,agbta,3,91.79292929292929,7.323232323232322,55.55555555555556,60.0,1.0
2018-01-15 10:30:00,agbta,2,,8.103727714748784,,0.8787346221441126,1.0
2018-01-15 10:30:00,agbta,3,91.78255372945637,7.332490518331225,10.94147582697201,8.396946564885496,1.0
2018-01-15 12:00:00,agbta,2,,7.900432900432902,,23.809523809523814,1.0
2018-01-15 12:00:00,agbta,3,91.91919191919192,7.323232323232322,73.68421052631578,21.428571428571427,1.0
2018-01-15 15:30:00,agbta,2,,7.592190889370933,,58.62068965517242,1.0
2018-01-15 15:30:00,agbta,3,91.49746192893402,7.2335025380710665,13.999999999999998,28.571428571428577,1.0
2018-01-15 07:00:00,agbta,2,,8.203350664355865,,17.0919881305638,1.0
2018-01-15 07:00:00,agbta,3,99.58158995815899,7.949790794979079,66.32443531827515,16.324435318275153,1.0
2018-01-15 16:00:00,agbta,2,,7.70901194353963,,84.61538461538461,1.0
2018-01-15 16:00:00,agbta,3,92.12198221092758,6.988564167725539,30.303030303030305,71.42857142857143,1.0
2018-01-15 06:30:00,agbta,2,,8.106508875739646,,19.892110586648688,1.0
2018-01-15 06:30:00,agbta,3,97.87835926449787,7.947976878612717,94.00749063670412,24.34456928838951,1.0
2018-01-15 18:30:00,agbta,2,,7.921866521975042,,100.0,1.0
2018-01-15 18:30:00,agbta,3,92.86624203821655,6.114649681528663,83.87096774193549,66.66666666666666,1.0
2018-01-15 19:00:00,agbta,2,,7.917570498915402,,70.37037037037037,1.0
2018-01-15 19:00:00,agbta,3,92.50317662007623,6.099110546378653,36.84210526315789,13.999999999999998,1.0
2018-01-15 19:30:00,agbta,2,,7.967479674796748,,20.833333333333336,1.0
2018-01-15 19:30:00,agbta,3,92.38578680203047,6.091370558375635,85.71428571428571,24.0,1.0
2018-01-15 20:00:00,agbta,2,,7.9502433747971875,,12.820512820512823,1.0
2018-01-15 20:00:00,agbta,3,92.15189873417722,6.075949367088608,55.55555555555556,12.820512820512823,1.0
2018-01-15 20:30:00,agbta,2,,8.075880758807589,,39.62264150943396,1.0
